productoId,nombre,descripcion,categoriaId,formaFarmaceutica,requierePrescripcion,registroSanitario,sku,location,ubicacion,stock,precio,estado_producto,actualizado_en,fechaVencimiento
P001,Paracetamol 500mg,Analgésico en tabletas,CAT001,Tableta,false,RS-001-A,SKU-001,Bodega A,P1-01,150,4500,activo,2025-01-15T10:00:00,2027-11-30
P002,Ibuprofeno 400mg,Antiinflamatorio,CAT002,Tableta,false,RS-002-B,SKU-002,Bodega B,P2-03,200,6200,activo,2025-02-01T09:30:00,2027-05-15
P003,Amoxicilina 500mg,Antibiótico,CAT003,Capsula,true,RS-003-C,SKU-003,Bodega A,P1-05,80,8300,activo,2025-01-10T08:15:00,2026-10-20
P004,Loratadina 10mg,Antialérgico,CAT004,Tableta,false,RS-004-D,SKU-004,Bodega C,P3-02,300,5100,activo,2025-02-10T11:05:00,2028-01-01
P005,Omeprazol 20mg,Antiácido,CAT005,Capsula,false,RS-005-E,SKU-005,Bodega A,P1-04,120,7400,activo,2025-03-01T14:00:00,2026-02-18
P006,Metformina 850mg,Antidiabético,CAT006,Tableta,true,RS-006-F,SKU-006,Bodega D,P4-01,500,2900,activo,2025-03-10T07:00:00,2027-12-31
P007,Atorvastatina 20mg,Control de colesterol,CAT007,Tableta,true,RS-007-G,SKU-007,Bodega E,P5-02,50,10500,inactivo,2025-01-12T09:00:00,2026-07-15
P008,Acetaminofén Gotas,Analgésico,CAT001,Gotas,false,RS-008-H,SKU-008,Bodega B,P2-01,90,3800,activo,2025-01-20T10:30:00,2025-09-09
P009,Cetirizina 10mg,Antialérgico,CAT004,Tableta,false,RS-009-I,SKU-009,Bodega C,P3-01,110,4900,activo,2025-02-12T10:10:00,2026-05-05
P010,Diclofenaco Sódico 50mg,Antiinflamatorio,CAT002,Tableta,false,RS-010-J,SKU-010,Bodega D,P4-04,210,5600,activo,2025-01-28T13:00:00,2027-04-04
P011,Vitamina C 1g,Suplemento,CAT008,Tableta,false,RS-011-K,SKU-011,Bodega A,P1-03,400,2200,activo,2025-01-05T12:00:00,2028-10-10
P012,Aciclovir 400mg,Antiviral,CAT009,Tableta,true,RS-012-L,SKU-012,Bodega B,P2-02,130,8800,activo,2025-02-25T09:00:00,2026-12-25
P013,Insulina Glargina 100UI/ml,Tratamiento diabetes,CAT006,Inyectable,true,RS-013-M,SKU-013,Bodega F,Refrigerado,60,112500,activo,2025-01-20T06:50:00,2025-09-01
P014,Salbutamol Inhalador,Respiratorio,CAT010,Inhalador,false,RS-014-N,SKU-014,Bodega C,P3-05,75,16700,activo,2025-03-02T11:00:00,2027-08-08
P015,Losartan 50mg,Cardiovascular,CAT007,Tableta,true,RS-015-O,SKU-015,Bodega D,P4-02,260,9300,activo,2025-02-18T10:30:00,2027-03-12
P016,Azitromicina 500mg,Antibiótico,CAT003,Tableta,true,RS-016-P,SKU-016,Bodega A,P1-02,140,12800,activo,2025-01-22T12:00:00,2026-06-30
P017,Naproxeno 500mg,Antiinflamatorio,CAT002,Tableta,false,RS-017-Q,SKU-017,Bodega E,P5-03,180,5100,activo,2025-03-02T12:15:00,2028-02-28
P018,Dexametasona 4mg,Corticoide,CAT011,Tableta,true,RS-018-R,SKU-018,Bodega C,P3-06,95,7200,activo,2025-02-14T09:30:00,2026-01-01
P019,Clotrimazol Crema 1%,Antimicótico,CAT012,Crema,false,RS-019-S,SKU-019,Bodega A,P1-06,85,6100,activo,2025-02-22T09:45:00,2026-11-11
P020,Albendazol 400mg,Antiparasitario,CAT013,Tableta,false,RS-020-T,SKU-020,Bodega D,P4-03,160,3700,activo,2025-01-30T10:00:00,2027-09-20
P021,Vitamina D3 2000UI,Suplemento,CAT008,Tableta,false,RS-021-U,SKU-021,Bodega A,P1-07,500,4500,activo,2025-03-05T09:00:00,2028-01-15
P022,Esomeprazol 40mg,Antiácido,CAT005,Capsula,false,RS-022-V,SKU-022,Bodega C,P3-08,140,9400,activo,2025-03-03T14:00:00,2027-10-01
